message_id,message,Constructiveness,Justification,Justification_internal,Justification_external,Relevance,Reciprocity,Empathy_Respect,Uncivil_abuse
110,@USER #ArtificialIntelligence #AI #Industry40 #MachineLearning #DeepLearning  #GrowthHacking #BigData #BehavioralEconomics #fintech #Insurtech  #HealthTech #netneutrality #GMOFREEHAWAII #ALOHA #HAWAII #SURF  #EDDIEWOULDGO #CROWDFUNDING #CHEMTRAILS #BITCOI,0,1,0,0,1,NA,NA,NA
111,@USER #BoycottStateOfTheUnion &amp; the prevaricator in chief,0,0,0,0,1,0,0,0
112,@USER #BUILDTHEDAMNWALL #NODACA #NOAMNESTY #NOCHAINMIGRATION #NODIVERSITYLOTTERY #ENDENTITLEMENTS #BUILDTHEDAMNWALL #NODEALWITHCHUCK <f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8><f0><U+009F><U+0091><U+008A><f0><U+009F><U+0087><U+00BA><f0><U+009,0,0,0,0,1,0,0,NA
113,@USER #CONTEMPOFCONGRESS YOU and your colleagues keep saying Congress needs to show the DOJ and FBI that Congress has some teeth. But when you subpoena them for information and BOTH continue to STONEWALL Put them in CONTEMP OF CONGRESS!,0,1,0,0,1,0,0,0
114,@USER #Coward you won<U+FFFD>t release the Democratic memo because it will refute everything in @USER  memo. Just protecting your #fatass once again. Can<U+FFFD>t wait for it to be out of the Oval Office.,0,1,1,0,1,NA,1,NA
115,@USER #CruzCrew 2024 . Though Id rather see you on the @USER in RBG place,0,0,0,0,1,0,NA,0
116,@USER #Democrats @USER should not be running the budget for a bat mitzvah and @USER is unfit to run a book club. #CommieZombie traitors https://t.co/S5CEON5Zfq,0,1,1,0,NA,NA,1,0
117,@USER #DonnyJohn's moral authority to lead was lost long ago.,0,1,0,0,NA,NA,1,1
118,@USER #DoSomethingGOP !!!!,0,0,0,0,1,0,0,0
119,@USER #DoYourJob.You want to be majority leader then earn it. Stop waiting for the courts to bail you out,0,1,0,0,1,1,1,1
120,"@USER #DREAMers are doctors, lawyers, teachers, social workers, friends, and colleagues. Time for Congress to protect them.",0,1,0,0,1,NA,1,0
121,@USER #eldorme #Congress @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER,0,0,0,0,NA,NA,NA,0
122,@USER #forgetplacesimplyrepeal Please continue the message!,0,1,0,0,1,NA,1,NA
123,"@USER #GE #lobbyists scrambled and #won an alternative in the Senate<U+FFFD>s version of the tax bill preserving the company<U+FFFD>s ability to use those losses when calculating its tax liability, working feverishly to influence the final form of the tax",0,1,0,0,1,NA,1,NA
124,@USER #gishwhesrights https://t.co/E8498RG9XJ,0,0,0,0,0,0,0,0
126,"@USER #GUNSKillPeople It<U+FFFD>s your job to protect us, start with common sense gun laws and restrictions! You voted for MORE gun access! #DoSomething",0,1,0,0,1,NA,NA,0
127,@USER #HR3999 is an attack on our #2ndAmendment rights. The wording opens the door for fully disarming us. Please vote against.,0,1,1,0,1,0,1,0
129,@USER #MeToo is transformative campain. I<U+FFFD>d like to see @USER throw their weight behind @USER too,0,1,0,0,1,NA,1,NA
131,"@USER #morningjoe @USER @USER Aft Sen""Tim"" Scott Trump mtg confirmed what we all KNEW: ""I didn't expect an epiphany""! Yeah, he be",0,1,0,0,1,1,1,NA
132,"@USER #move on &amp; around them, Substitute funds for Wall, Gisher can start tomorrow! Let DACA run out, Dems did it to themselves!",0,1,0,0,1,NA,1,NA
135,@USER #PAC investigate this @USER or does #superdelegate status come with perks <f0><U+009F><U+0099><U+0089><f0><U+009F><U+0099><U+0088><f0><U+009F><U+0099><U+008A> https://t.co/cBUbRzWl5s,1,1,0,0,1,1,1,NA
136,@USER #PuertoRico is only important to #Democrats come election time or deflecting from a corruption trial. #MenendezForPrison2017,0,0,0,0,1,0,0,0
137,@USER #releasethememo,0,1,0,0,1,NA,1,NA
138,@USER #ReleaseTheMemo,0,1,0,0,1,NA,1,NA
139,@USER #ReleaseTheMemo ?,0,1,0,0,1,1,1,NA
140,@USER #ReleaseTheMemo @USER @USER   A Russian bot did not send this to you..a true patriot did..Dimms will lose 2018/2020 You have nothing to offer but corruption,0,0,0,0,1,0,0,NA
141,@USER #ReleaseTheTranscripts #ReleaseTheTranscripts #ReleaseTheTranscripts #ReleaseTheTranscripts #ReleaseTheTranscripts #ReleaseTheTranscripts #ReleaseTheTranscripts #ReleaseTheTranscripts #ReleaseTheTranscripts #ReleaseTheTranscripts #ReleaseTheTranscri,0,1,0,0,1,NA,1,NA
142,@USER #SchumerShutdown #SchumerShutdown #SchumerShutdown #SchumerShutdown #SchumerShutdown #SchumerShutdown #SchumerShutdown #SchumerShutdown #SchumerShutdown #SchumerShutdown #SchumerShutdown #SchumerShutdown #SchumerShutdown #SchumerShutdown #SchumerShu,0,0,0,0,1,0,0,0
143,@USER #SchummerShutdown. Somebody in DoD got the Games on today. No thanks to Traitor. Illegals over American Citizens great election strategy. Bad luck for you Socialist Dems in 2018 &amp; 2020. Looser! #MORONTraitor https://t.co/Q7CgGFfisI,0,1,0,0,1,NA,1,1
144,@USER #Sheisacrook cannot be #trusted #California  #VoteheroutNOW. #Newlife to help the #Americanpeople in #Congress @USER https://t.co/tTFC7gnLG3,0,1,0,0,1,1,1,NA
145,@USER #taxscam #fireTillis #FireThom https://t.co/HSocmeeLsK,1,1,0,0,1,1,1,NA
146,@USER #TheResistance We wont! The most atrocious News Dump ever - Trump thinks public is blind &amp; stupid like him. We'll keep reminding him of it. https://t.co/KMd1wixwtF,1,1,0,0,1,1,1,NA
147,@USER #TitleIIA funding empowers states to address crucial teacher shortages in high need fields &amp; improve retention.,0,1,0,0,1,NA,1,NA
149,@USER #ZeroTaxes30K will bring more take home pay  and help build the middle class,1,1,1,0,1,1,1,0
150,"@USER $9,900 from the NRA during the 2016 election cycle.",0,1,0,0,1,0,NA,0
151,"@USER &lt;~~~~ if you follow this account, you have an idea of what is ""Presidential""    Continues to work helping victims of disasters",0,0,0,0,1,0,NA,0
152,@USER (click to view video) https://t.co/TASC11Hukt,0,0,0,0,NA,0,0,0
153,"@USER (R) shows that he is just an <U+FFFD>empty barrel<U+FFFD>. He will support anyone with an (R) after their name, even intolerant racists. https://t.co/1MKpsNoGek",0,0,0,0,1,0,0,NA
155,@USER *Who's* actions? https://t.co/DoE88xqk5e,0,1,0,0,1,NA,1,0
156,@USER ... to impeaching trump?,0,0,0,0,NA,NA,0,NA
157,@USER ...I wonder if you've stopped to think just how many whales will be left in Alaska when your drills begin leaving their mark. https://t.co/IIDGi749Gn,0,1,0,0,1,0,1,NA
158,@USER ...the one who forged docs in the Bengazi hearings Rep.Cummings caught &amp; called out...he is trying to derail Russian investigation https://t.co/HRVLB4N4cn,1,1,0,0,1,1,1,0
159,"@USER ..and over 315K in Orange County California as noted by @USER , alone..which will be impacted by your propsed budget cuts (2 of2)",0,1,0,0,1,NA,1,NA
160,@USER ..make our companies more competitive on world market by removing or drastically reducing HC coverage as an expense line; ...,0,1,0,0,1,NA,1,NA
161,@USER .@USER .@USER .@USER .@USER .@USER .@USER MAKE IT STOP! Please!!!! #ImpeachTrump,0,1,0,0,1,NA,1,NA
162,@USER .@USER @USER @USER @USER @USER @USER #eldorme,0,0,0,0,NA,NA,NA,0
163,@USER .@USER @USER @USER DON'T forget the Snake <f0><U+009F><U+0090><U+008D> @USER @USER open boarders vomit broker !@USER https://t.co/7m5QG6KI34,0,1,0,0,1,NA,1,NA
164,"@USER .@USER <f0><U+009F><U+0098><U+008F> Yeah, can we #RemoveNunes, THE BOOT-LICKING TRUMP CULT MEMBER, please.... https://t.co/f3HQWXdCG7",0,0,0,0,1,0,0,1
165,@USER .@USER Are you ok with this?,0,1,0,0,1,NA,1,NA
166,@USER .@USER How many Hispanic Americans are NOT working in New York &amp; New York City because they have been displaced by NON Citizens? #DACA,0,1,0,0,1,1,1,1
167,@USER .@USER Ok. This is your legacy. All your principles were just posturing. So what actually bought this yes vote? How much are taking to screw your state?  #CollinsKickback,0,0,0,0,1,NA,0,0
168,"@USER .@USER should be in the US helping Americans during the aftermath of #HurricaneHarvey, not #grandstanding, but i that's his thing.",0,1,0,0,1,0,0,0
169,"@USER .@USER This must be your most cynical, hypocritical tweet ever. You voted to take away (1) Maternity coverage (2) Neonatal coverage..1/2",0,1,1,0,1,NA,1,NA
170,@USER .@USER: Americans demand the truth. #ProtectMueller's #TrumpRussia investigation. CALL: 844-514-7166 &amp; click: https://t.co/ahrb40Uyks  https://t.co/oH9tlhmenN,0,1,0,0,1,NA,1,0
171,"@USER .Speaking in half-truths Lynn. Paint for us the picture of where that same family is in 2021? On the topic of eliminating special interest loopholes, that<U+FFFD>s not a half-truth. It<U+FFFD>s a LIE! #TaxScam https://t.co/FxCJBKtOVX",0,1,0,0,1,NA,NA,0
172,"@USER /I'm with you on cuttting Salt . the only persons that use SALT are those who pay too much reveiling they make too much.  Taxing those rich assets purchased and owned &amp; who also control all hunting and GAME on private property , I never get to c",0,1,0,0,1,1,1,NA
173,@USER :-D unless you<U+FFFD>re a Democrat...then we will keep it hush hush...,0,0,0,0,1,0,0,0
174,=@USER : America owes me absolutely nothing. I have A debt to this country I will never repay.,0,1,0,0,1,NA,NA,0
175,@USER ? @USER @USER  @USER @USER @USER @USER @USER @USER @USER,0,1,0,0,NA,NA,NA,NA
176,=@USER @ So- how many children have to die Before You stand Up to The NRA? how do You sleep at night. I am A constituent- I<U+FFFD>m demanding A change.  May your re-election become even tougher.,1,1,0,0,1,1,1,NA
177,=@USER @USER,0,0,0,0,0,0,0,0
178,@USER @USER 'To a sweeter more beautiful girl I could not say. ' - Love Roy Moore https://t.co/OJJzWl5uQj,0,1,0,0,NA,0,NA,0
180,=@USER @USER - signed: A person that might not vote for you.,0,0,0,0,1,0,0,0
181,=@USER @USER - time for your resignation is past due...when?,0,1,1,0,1,NA,1,NA
182,@USER @USER - You have both been in #congress way to long if you think the stunt on Steele document is serving the people.    Graham are you being blackmailed? @USER @USER @USER @USER @USER,0,0,0,0,1,NA,NA,0
184,"@USER @USER   And what, exactly, are you both doing about it? Or are you OK with Russian meddling in US elections?   You were both so quiet when trump refused to sanction Russia. https://t.co/tg0oPFksdH",0,1,0,0,1,NA,NA,NA
185,=@USER @USER   House of cards is wobbling,1,1,0,0,1,1,1,NA
186,"@USER @USER   On your watch, fellas.  So much winning https://t.co/8XuQzVEhGo",0,0,0,0,1,0,1,0
187,"@USER @USER   You received $6,986,620 fm the NRA.  You have a conflict of interest.  You put donor interests above common sense gun laws.",1,1,0,0,1,1,1,NA
189,@USER @USER  @USER @USER @USER @USER @USER @USER @USER @USER  #eldorme THIS!! https://t.co/GtWPDVeVZi,0,1,0,0,NA,NA,1,NA
190,@USER @USER  @USER @USER @USER @USER @USER @USER @USER SOS golpe de estado en Vzla https://t.co/21dThrX8fq,0,0,0,0,0,0,0,0
191,@USER @USER  <f0><U+009F><U+0091><U+0089><f0><U+009F><U+008F><U+00BF> CBO Says Funding CHIP Actually Saves Gov<U+FFFD>t Billions. So What<U+FFFD>s The Holdup? <U+FFFD> Talking Points Memo https://t.co/53qwO3gO0o,0,1,0,0,1,NA,NA,0
192,@USER @USER  Do the right thing for all the citizens of USA! #IMPEACH this morally bankrupt @USER before more damage is done!,0,1,0,0,1,0,0,NA
193,=@USER @USER  Drain The Swamp,0,1,0,0,1,NA,1,NA
194,@USER @USER  https://t.co/4pl9Uwk47K,0,1,1,0,1,1,1,NA
195,@USER @USER  https://t.co/6YiXz51EhM,0,0,0,0,NA,NA,NA,NA
196,@USER @USER  https://t.co/aH5EIRiu4c,0,0,0,0,NA,0,0,0
197,@USER @USER  https://t.co/bosMwGJbE3,0,1,0,0,1,1,1,1
198,@USER @USER  https://t.co/jmETto1WBW,0,1,0,0,1,NA,1,NA
199,@USER @USER  https://t.co/jo5JXNi4dU,0,0,0,0,1,NA,1,1
200,@USER @USER  https://t.co/m5WmXLf4hy,0,1,0,0,NA,NA,1,NA
201,@USER @USER  https://t.co/RIBGi863JF,0,1,0,0,1,NA,NA,NA
202,@USER @USER  https://t.co/Tof4IC5Ynt,0,1,0,1,0,0,0,0
203,@USER @USER  it's also supporting a child molester that should be listed in a crime database.,0,1,0,0,1,NA,NA,NA
205,@USER @USER  Obstructionist Senators &amp; House members will be replaced. Again We the People are watching.,0,0,0,0,1,0,0,0
206,@USER @USER  Stop pretending you care about women when 1/2 of the babies aborted are girls.  You support that.  Fakeahontas,0,1,0,0,1,NA,1,NA
207,"@USER @USER  This guy advocating violence should be dealt with, it's dangerous.",0,1,0,0,1,NA,NA,NA
208,"@USER @USER  Vote NO on Brett Talley.  Has practiced law for only 3 years, never tried a case, and deemed unqualified by the American Bar.  He is not qualified to be a Federal Judge.  VOTE NO.",0,1,0,0,1,NA,1,NA
210,@USER @USER  Wish Trey Gowdy would get off his high horse&amp; get tough w his actions not just w his words! When will that happen,1,1,1,0,1,1,1,0
211,=@USER @USER  WOW Coming from A SONG BIRD who got A PARDON by NIXON for being A RAT!Also U have SEX ALLEGATIONS-  U need to STEP DOWN based on no evidence like MOORE... lol,0,0,0,0,1,0,0,1
212,@USER @USER  you and your I'll in the Congress are responsible for this. Do your job and do what the will of your constituents want.,0,1,1,0,1,NA,NA,NA
222,"@USER @USER ""....a person identifying themselves as Andrew...."" honestly, who writes this slop?",0,0,0,0,0,0,0,0
223,"@USER @USER ""A government big enough to give you everything you want is a government big enough to take away everything that you have.""",0,1,0,0,1,NA,0,0
224,"@USER @USER ""Do as I say, not as I do"" might be his family motto",0,0,0,0,NA,0,0,0
225,"@USER @USER ""just do some stuff."" And are you gonna tell me that gun owners aren't regularly considered responsible for shootings? Again, we're talking",0,0,0,0,1,NA,0,0
226,"@USER @USER ""Quick, staff, let me go out and tsk tsk about rhetoric so people forget the catastrophically bad vote I just made.""",0,1,0,0,1,NA,1,NA
227,"@USER @USER ""REFLECTIONS OF MY LIFE""   THE MARMALADE  ~ 1969 - original recording ~ ... https://t.co/A1KGkEazGl https://t.co/Ffz88nvh9H",0,0,0,0,0,0,0,0
229,"@USER @USER ""There will be no excuses and nobody else<U+FFFD>s fault but the Republican Party if this government does shut down."" - @USER",0,0,0,0,1,NA,NA,0
230,"@USER @USER ""With U.S. and U.K. complicity, the Saudi government is committing war crimes in Yemen."" - @USER via @USER https://t.co/j2NHz37ALi",0,1,0,0,1,0,1,0
231,@USER @USER #FchUCKSchumer will only call for more violence bc there Vagina Agenda failed.,0,0,0,0,1,0,0,NA
232,@USER @USER #GoNancyGo https://t.co/OYXXnRGbZ4,1,1,0,0,1,1,1,NA
234,@USER @USER #ImpeachTrumpNow #ImpeachMcConnell He should be implicated in the #TrumpRussiaInvestigation #McConnellIsATraitor too https://t.co/NC8VIGrmmo,0,1,0,0,1,NA,0,0
235,@USER @USER #MedicareForAll It<U+FFFD>s what the American people want and what the American people deserve already. Stop fighting for less,0,1,0,0,1,NA,NA,0
236,@USER @USER #memodud proved nothing. Except @USER better watch what he releases next. https://t.co/oNx90YGlwT,0,1,0,0,1,1,1,1
237,@USER @USER #my representatives @USER @USER #TRUTH. Who try stab @USER IN BACK? FIRST&amp;CalvaryPRESBY #NO #LIKE #BACKSTABBERS https://t.co/QM8UTuDZHJ,0,1,0,0,1,NA,1,NA
238,@USER @USER #PresidentAssholeSavant,0,1,0,0,1,NA,1,1
239,"@USER @USER #PresidentHillaryClinton is our real president. russia attacked us, staged a coup, installed #illegitPOTUS rump. #25thAmendmentNow",0,1,0,0,1,0,0,NA
240,@USER @USER #Rand Paul . . . Then why are you not in there and helping them write it?  The American People need some relief.  Congress doesn't get it.,0,0,0,0,1,NA,0,0
241,"@USER @USER #realDonaldTrump  So sick of these crooked politicians, like Frankenstein Feinstein, having no respect 4 the Rule of Law! All they care about is winning &amp; don<U+FFFD>t care what damages they<U+FFFD>ve done to future generations! Our youth",0,0,0,0,1,0,0,1
242,@USER @USER #realdonaldtrump such a great question that tRump will not answer. Just sign another executive order telling them to send a money gram.,0,1,0,0,1,NA,1,NA
243,@USER @USER #ReleasetheMemo @USER WTF?!,0,1,0,0,1,NA,1,0
244,@USER @USER #ReleaseTheMemo https://t.co/Vc5WeTFcCW,0,0,0,0,1,NA,0,0
245,@USER @USER #RemoveNunes,0,0,0,0,1,0,0,0
246,"@USER @USER #Sorry Flake,,,, At One Time I Thought I Would Vote For You.... But You Voted That Awful, Awful Tax Bill In!!! You Have NO SPINE, JUST FOR YOURSELF!!!",0,1,1,0,1,0,0,NA
247,@USER @USER #TheResistance https://t.co/al4T8iRNjk,0,0,0,0,1,0,1,0
248,@USER @USER #traitor Trump cares nothing about NH or individuals going through the pain of addiction. He is selling our democracy &amp; values out to Russia,0,1,0,0,1,NA,NA,NA
249,@USER @USER #Ukraine #Traitor #Svoboda #VictoriaNuland #Neonazi #MakeMcCainExplain https://t.co/PlZmCUvdMx,0,1,0,0,1,NA,1,NA
250,"@USER @USER $1,400 from $1,000? Whoop-de-doo. Too bad I'm middle class instead of rich, for whom this plan was actually written for. What a joke.",0,0,0,0,0,0,0,0
251,@USER @USER $1.5 Trillion in tax cuts.,0,0,0,0,1,NA,1,0
252,"@USER @USER &amp; @USER why are you all so cruel? Step aside, let thse who want the best for US Citizens do the job u can't!",0,1,0,0,1,NA,1,0
253,@USER @USER &amp; Republicans are complicit in ALL shootings in US. They want EVERYONE to own firearms! https://t.co/fOeZoVweKS,0,1,0,0,1,1,1,NA
254,=@USER @USER *same thing.,0,1,0,0,1,NA,1,NA
255,"@USER @USER , what about the military spending they can't afford that's mandated? or paying your salary? or paying for your healthcare?",0,0,0,0,1,NA,0,0
256,"@USER @USER ,@USER is a idiot!",0,1,0,0,1,NA,1,1
